tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,text,rating_numerator,rating_denominator,dog_stage,retweet_count,favorite_count,tweet_length,hashtags,name,expanded_urls
892177421306343426,,,2017-08-01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13,10,,6514.0,33819.0,138.0,,Tilly,https://twitter.com/dog_rates/status/892177421306343426/photo/1
891815181378084864,,,2017-07-31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12,10,,4328.0,25461.0,121.0,,Archie,https://twitter.com/dog_rates/status/891815181378084864/photo/1
891689557279858688,,,2017-07-30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13,10,,8964.0,42908.0,79.0,,Darla,https://twitter.com/dog_rates/status/891689557279858688/photo/1
891327558926688256,,,2017-07-29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12,10,,9774.0,41048.0,138.0,BarkWeek,Franklin,https://twitter.com/dog_rates/status/891327558926688256/photo/1
891087950875897856,,,2017-07-29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13,10,,3261.0,20562.0,138.0,BarkWeek,,https://twitter.com/dog_rates/status/891087950875897856/photo/1
890971913173991426,,,2017-07-28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13,10,,2158.0,12041.0,140.0,,Jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1
890729181411237888,,,2017-07-28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13,10,,16716.0,56848.0,118.0,,,https://twitter.com/dog_rates/status/890729181411237888/photo/1
890609185150312448,,,2017-07-27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13,10,,4429.0,28226.0,122.0,BarkWeek,Zoey,https://twitter.com/dog_rates/status/890609185150312448/photo/1
890240255349198849,,,2017-07-26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14,10,doggo,7711.0,32467.0,133.0,,Cassie,https://twitter.com/dog_rates/status/890240255349198849/photo/1
890006608113172480,,,2017-07-26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,13,10,,7624.0,31166.0,130.0,BarkWeek,Koda,https://twitter.com/dog_rates/status/890006608113172480/photo/1
